Agent Name;Level Name;Game Status;Final X Position;Completion Percentage;Remaining Lives;Remaining Coins;Collected Coins;Remaining Time in MS;Mario Mode;Mario Damage Taken;Mushrooms Collected;Fireflowers Collected;Total Kills;Kill by Stomp;Kills by Fire;Kills by Shell;Kills by Fall;Destroyed Bricks;Jumps;Max X Jump;Max Air Time;Overtime
aboveHole;lvl-101.txt;WIN;3120.0;1.0;0;0;0;48540;0;0;0;0;0;0;0;0;0;0;22;211.61975;19;0
aboveHole;lvl-121.txt;WIN;3120.0;1.0;0;0;0;49620;0;0;0;0;2;0;0;0;2;0;23;218.17639;19;0
aboveHole;lvl-135.txt;WIN;3120.0;1.0;0;0;0;49440;0;0;0;0;0;0;0;0;0;0;22;171.1383;15;0
aboveHole;lvl-146.txt;WIN;3120.0;1.0;0;0;0;48780;0;0;0;0;1;1;0;0;0;0;20;197.79343;19;0
aboveHole;lvl-163.txt;WIN;3120.0;1.0;0;0;0;39150;0;0;0;0;1;1;0;0;0;0;44;230.87048;22;0
aboveHole;lvl-20.txt;WIN;3120.0;1.0;0;0;0;48990;0;0;0;0;2;2;0;0;0;0;22;223.3046;23;0
aboveHole;lvl-232.txt;WIN;3120.0;1.0;0;0;0;49500;0;0;0;0;1;1;0;0;0;0;20;267.20053;24;0
aboveHole;lvl-249.txt;WIN;3120.0;1.0;0;0;0;50130;0;0;0;0;1;1;0;0;0;0;18;337.07983;32;0
aboveHole;lvl-252.txt;WIN;3120.0;1.0;0;1;0;48690;0;0;0;0;2;2;0;0;0;0;20;211.125;19;0
aboveHole;lvl-280.txt;WIN;3120.0;1.0;0;0;0;47340;0;0;0;0;0;0;0;0;0;0;19;190.93262;17;0
aboveHole;lvl-286.txt;WIN;3120.0;1.0;0;0;0;48990;0;0;0;0;2;2;0;0;0;0;15;268.49756;28;0
aboveHole;lvl-293.txt;WIN;3120.0;1.0;0;0;0;47550;0;0;0;0;2;0;0;0;2;0;21;181.06183;17;0
aboveHole;lvl-310.txt;WIN;3120.0;1.0;0;0;0;49080;0;0;0;0;2;2;0;0;0;0;16;385.6386;35;0
aboveHole;lvl-326.txt;WIN;3120.0;1.0;0;0;0;48090;0;0;0;0;0;0;0;0;0;0;15;210.59741;19;0
aboveHole;lvl-327.txt;WIN;3120.0;1.0;0;0;0;49800;0;0;0;0;2;0;0;0;2;0;21;210.0896;19;0
aboveHole;lvl-342.txt;WIN;3120.0;1.0;0;0;0;48600;0;0;0;0;0;0;0;0;0;0;24;211.83105;19;0
aboveHole;lvl-389.txt;WIN;3120.0;1.0;0;1;0;50370;0;0;0;0;2;0;0;0;2;0;20;213.71622;19;0
aboveHole;lvl-390.txt;WIN;3120.0;1.0;0;0;0;49140;0;0;0;0;2;1;0;0;1;0;20;206.85608;18;0
aboveHole;lvl-393.txt;WIN;3120.0;1.0;0;1;0;49980;0;0;0;0;0;0;0;0;0;0;23;185.64148;17;0
aboveHole;lvl-40.txt;WIN;3120.0;1.0;0;0;0;49920;0;0;0;0;0;0;0;0;0;0;20;205.1065;18;0
aboveHole;lvl-459.txt;WIN;3120.0;1.0;0;1;0;49650;0;0;0;0;2;1;0;0;1;0;19;244.90033;24;0
aboveHole;lvl-48.txt;WIN;3120.0;1.0;0;0;0;49020;0;0;0;0;3;3;0;0;0;0;19;202.36777;19;0
aboveHole;lvl-490.txt;WIN;3120.0;1.0;0;1;0;49980;0;0;0;0;2;1;0;0;1;0;21;172.47888;16;0
aboveHole;lvl-497.txt;WIN;3120.0;1.0;0;2;0;49500;0;0;0;0;0;0;0;0;0;0;24;171.47156;15;0
aboveHole;lvl-500.txt;WIN;3120.0;1.0;0;0;0;49470;0;0;0;0;0;0;0;0;0;0;22;209.36139;19;0
aboveHole;lvl-520.txt;WIN;3120.0;1.0;0;0;0;48930;0;0;0;0;5;5;0;0;0;0;18;245.64697;30;0
aboveHole;lvl-527.txt;WIN;3120.0;1.0;0;0;0;49170;0;0;0;0;0;0;0;0;0;0;19;180.56445;16;0
aboveHole;lvl-556.txt;WIN;3120.0;1.0;0;0;0;49800;0;0;0;0;2;0;0;0;2;0;21;204.99902;18;0
aboveHole;lvl-576.txt;WIN;3120.0;1.0;0;0;0;49290;0;0;0;0;2;1;0;0;1;0;19;206.27893;19;0
aboveHole;lvl-60.txt;WIN;3120.0;1.0;0;0;0;48660;0;0;0;0;1;0;0;0;1;0;18;199.19922;18;0
aboveHole;lvl-69.txt;WIN;3120.0;1.0;0;0;0;49800;0;0;0;0;0;0;0;0;0;0;19;184.22864;16;0
aboveHole;lvl-690.txt;WIN;3120.0;1.0;0;2;0;50250;0;0;0;0;1;1;0;0;0;0;22;240.9631;22;0
aboveHole;lvl-699.txt;WIN;3120.0;1.0;0;1;0;49380;0;0;0;0;1;1;0;0;0;0;20;200.57141;18;0
aboveHole;lvl-709.txt;WIN;3120.0;1.0;0;0;0;48000;0;0;0;0;3;3;0;0;0;0;15;268.00024;25;0
aboveHole;lvl-730.txt;WIN;3120.0;1.0;0;0;0;49200;0;0;0;0;1;1;0;0;0;0;20;228.4895;21;0
aboveHole;lvl-780.txt;WIN;3120.0;1.0;0;0;0;49230;0;0;0;0;2;2;0;0;0;0;22;285.42535;26;0
aboveHole;lvl-783.txt;WIN;3120.0;1.0;0;0;0;48510;0;0;0;0;3;2;0;0;1;0;21;186.5502;19;0
aboveHole;lvl-795.txt;LOSE;221.1268;0.070873976;0;0;0;58080;0;1;0;0;0;0;0;0;0;0;4;88.099976;15;0
aboveHole;lvl-803.txt;WIN;3120.0;1.0;0;0;0;49020;0;0;0;0;2;2;0;0;0;0;20;216.48297;19;0
aboveHole;lvl-815.txt;WIN;3120.0;1.0;0;0;0;49350;0;0;0;0;2;0;0;0;2;0;20;205.9306;19;0
aboveHole;lvl-873.txt;WIN;3120.0;1.0;0;0;0;49290;0;0;0;0;2;2;0;0;0;0;19;217.76367;19;0
