Agent Name;Level Name;Game Status;Final X Position;Completion Percentage;Remaining Lives;Remaining Coins;Collected Coins;Remaining Time in MS;Mario Mode;Mario Damage Taken;Mushrooms Collected;Fireflowers Collected;Total Kills;Kill by Stomp;Kills by Fire;Kills by Shell;Kills by Fall;Destroyed Bricks;Jumps;Max X Jump;Max Air Time;Overtime
aboveHole;lvl-101,txt;WIN;3120,0;1,0;0;0;0;48540;0;0;0;0;0;0;0;0;0;0;22;211,61975;19;0
aboveHole;lvl-101,txt;WIN;3120,0;1,0;0;0;0;48720;0;0;0;0;0;0;0;0;0;0;24;211,44995;19;0
aboveHole;lvl-101,txt;WIN;3120,0;1,0;0;0;0;48570;0;0;0;0;0;0;0;0;0;0;24;213,37305;19;0
aboveHole;lvl-101,txt;WIN;3120,0;1,0;0;0;0;49110;0;0;0;0;0;0;0;0;0;0;24;196,45251;19;0
aboveHole;lvl-101,txt;WIN;3120,0;1,0;0;0;0;49290;0;0;0;0;0;0;0;0;0;0;23;195,50232;19;0
aboveHole;lvl-121,txt;WIN;3120,0;1,0;0;0;0;49620;0;0;0;0;2;0;0;0;2;0;23;218,17639;19;0
aboveHole;lvl-121,txt;WIN;3120,0;1,0;0;0;0;50400;0;0;0;0;2;0;0;0;2;0;20;215,10938;19;0
aboveHole;lvl-121,txt;WIN;3120,0;1,0;0;0;0;50190;0;0;0;0;2;0;0;0;2;0;21;204,77588;18;0
aboveHole;lvl-121,txt;WIN;3120,0;1,0;0;0;0;50430;0;0;0;0;2;0;0;0;2;0;20;197,69098;18;0
aboveHole;lvl-121,txt;WIN;3120,0;1,0;0;0;0;49650;0;0;0;0;2;0;0;0;2;0;23;196,76044;18;0
aboveHole;lvl-135,txt;WIN;3120,0;1,0;0;0;0;49140;0;0;0;0;1;1;0;0;0;0;20;240,80254;24;0
aboveHole;lvl-135,txt;WIN;3120,0;1,0;0;0;0;49590;0;0;0;0;1;1;0;0;0;0;21;237,80067;23;0
aboveHole;lvl-135,txt;WIN;3120,0;1,0;0;0;0;49110;0;0;0;0;1;1;0;0;0;0;20;231,3532;23;0
aboveHole;lvl-135,txt;WIN;3120,0;1,0;0;0;0;49440;0;0;0;0;0;0;0;0;0;0;22;171,1383;15;0
aboveHole;lvl-135,txt;WIN;3120,0;1,0;0;0;0;48600;0;0;0;0;1;1;0;0;0;0;20;240,60368;24;0
aboveHole;lvl-146,txt;WIN;3120,0;1,0;0;0;0;48630;0;0;0;0;1;1;0;0;0;0;22;193,59406;19;0
aboveHole;lvl-146,txt;WIN;3120,0;1,0;0;0;0;47790;0;0;0;0;0;0;0;0;0;0;22;172,14142;15;0
aboveHole;lvl-146,txt;WIN;3120,0;1,0;0;0;0;48000;0;0;0;0;1;1;0;0;0;0;21;209,63336;20;0
aboveHole;lvl-146,txt;WIN;3120,0;1,0;0;0;0;48780;0;0;0;0;1;1;0;0;0;0;20;197,79343;19;0
aboveHole;lvl-146,txt;WIN;3120,0;1,0;0;0;0;47970;0;0;0;0;0;0;0;0;0;0;20;172,5293;16;0
aboveHole;lvl-163,txt;WIN;3120,0;1,0;0;1;0;41550;0;0;0;0;1;1;0;0;0;0;34;237,65027;22;0
aboveHole;lvl-163,txt;LOSE;187,91312;0,060228564;0;0;0;54450;0;1;0;0;0;0;0;0;0;0;14;53,674416;12;0
aboveHole;lvl-163,txt;WIN;3120,0;1,0;0;1;0;36750;0;0;0;0;1;1;0;0;0;0;48;208,67468;19;0
aboveHole;lvl-163,txt;WIN;3120,0;1,0;0;1;0;42900;0;0;0;0;1;1;0;0;0;0;29;171,6802;16;0
aboveHole;lvl-163,txt;WIN;3120,0;1,0;0;0;0;39150;0;0;0;0;1;1;0;0;0;0;44;230,87048;22;0
aboveHole;lvl-20,txt;WIN;3120,0;1,0;0;0;0;48240;0;0;0;0;3;3;0;0;0;0;24;228,68628;27;0
aboveHole;lvl-20,txt;WIN;3120,0;1,0;0;0;0;49380;0;0;0;0;2;2;0;0;0;0;20;198,88708;24;0
aboveHole;lvl-20,txt;WIN;3120,0;1,0;0;0;0;49620;0;0;0;0;2;2;0;0;0;0;20;202,64081;21;0
aboveHole;lvl-20,txt;WIN;3120,0;1,0;0;0;0;49260;0;0;0;0;2;2;0;0;0;0;21;222,09625;23;0
aboveHole;lvl-20,txt;WIN;3120,0;1,0;0;0;0;48990;0;0;0;0;2;2;0;0;0;0;22;223,3046;23;0
aboveHole;lvl-232,txt;WIN;3120,0;1,0;0;0;0;49230;0;0;0;0;1;1;0;0;0;0;19;209,21802;20;0
