Agent Name;Level Name;Game Status;Final X Position;Completion Percentage;Remaining Lives;Remaining Coins;Collected Coins;Remaining Time in MS;Mario Mode;Mario Damage Taken;Mushrooms Collected;Fireflowers Collected;Total Kills;Kill by Stomp;Kills by Fire;Kills by Shell;Kills by Fall;Destroyed Bricks;Jumps;Max X Jump;Max Air Time;Overtime
mixMax;lvl-101,txt;LOSE;2680,9014;0,85926324;0;0;0;50760;0;0;0;0;0;0;0;0;0;0;17;218,16772;19;0
mixMax;lvl-101,txt;WIN;3120,0;1,0;0;0;0;49680;0;0;0;0;0;0;0;0;0;0;21;218,17969;19;0
mixMax;lvl-101,txt;WIN;3120,0;1,0;0;0;0;49080;0;0;0;0;0;0;0;0;0;0;22;201,88147;18;0
mixMax;lvl-101,txt;WIN;3120,0;1,0;0;0;0;49380;0;0;0;0;0;0;0;0;0;0;20;211,76416;19;0
mixMax;lvl-101,txt;LOSE;2684,3577;0,86037105;0;0;0;51390;0;0;0;0;0;0;0;0;0;0;18;218,09631;19;0
mixMax;lvl-121,txt;WIN;3120,0;1,0;0;0;0;50010;0;0;0;0;2;0;0;0;2;0;19;207,2356;19;0
mixMax;lvl-121,txt;WIN;3120,0;1,0;0;0;0;49860;0;0;0;0;2;0;0;0;2;0;20;209,99353;19;0
mixMax;lvl-121,txt;WIN;3120,0;1,0;0;0;0;49920;0;0;0;0;2;0;0;0;2;0;21;207,11243;19;0
mixMax;lvl-121,txt;WIN;3120,0;1,0;0;0;0;50130;0;0;0;0;2;0;0;0;2;0;20;212,13342;19;0
mixMax;lvl-121,txt;WIN;3120,0;1,0;0;0;0;50310;0;0;0;0;2;0;0;0;2;0;19;201,30957;18;0
mixMax;lvl-135,txt;WIN;3120,0;1,0;0;0;0;48330;0;0;0;0;1;1;0;0;0;0;19;232,2765;23;0
mixMax;lvl-135,txt;WIN;3120,0;1,0;0;0;0;47520;0;0;0;0;1;1;0;0;0;0;20;241,04424;24;0
mixMax;lvl-135,txt;WIN;3120,0;1,0;0;0;0;48180;0;0;0;0;1;1;0;0;0;0;19;255,18002;24;0
mixMax;lvl-135,txt;WIN;3120,0;1,0;0;1;0;47880;0;0;0;0;0;0;0;0;0;0;22;168,70624;15;0
mixMax;lvl-135,txt;WIN;3120,0;1,0;0;0;0;48000;0;0;0;0;1;1;0;0;0;0;19;241,12097;24;0
mixMax;lvl-146,txt;WIN;3120,0;1,0;0;0;0;47730;0;0;0;0;0;0;0;0;0;0;19;186,41907;18;0
