Agent Name;Level Name;Game Status;Final X Position;Completion Percentage;Remaining Lives;Remaining Coins;Collected Coins;Remaining Time in MS;Mario Mode;Mario Damage Taken;Mushrooms Collected;Fireflowers Collected;Total Kills;Kill by Stomp;Kills by Fire;Kills by Shell;Kills by Fall;Destroyed Bricks;Jumps;Max X Jump;Max Air Time;Overtime
mixMax;lvl-101.txt;LOSE;2680.9014;0.85926324;0;0;0;50760;0;0;0;0;0;0;0;0;0;0;17;218.16772;19;0
mixMax;lvl-121.txt;WIN;3120.0;1.0;0;0;0;50010;0;0;0;0;2;0;0;0;2;0;19;207.2356;19;0
mixMax;lvl-135.txt;WIN;3120.0;1.0;0;1;0;47880;0;0;0;0;0;0;0;0;0;0;22;168.70624;15;0
mixMax;lvl-146.txt;WIN;3120.0;1.0;0;0;0;47760;0;0;0;0;0;0;0;0;0;0;20;189.81702;18;0
mixMax;lvl-163.txt;LOSE;250.72453;0.08036043;0;0;0;58950;0;0;0;0;0;0;0;0;0;0;2;122.5689;15;0
mixMax;lvl-20.txt;LOSE;233.38843;0.074803986;0;0;0;58980;0;0;0;0;0;0;0;0;0;0;3;73.503365;8;0
mixMax;lvl-232.txt;WIN;3120.0;1.0;0;0;0;49050;0;0;0;0;1;1;0;0;0;0;20;202.4014;18;0
mixMax;lvl-249.txt;LOSE;2671.4604;0.85623735;0;0;0;51870;0;0;0;0;0;0;0;0;0;0;15;195.7149;17;0
mixMax;lvl-252.txt;WIN;3120.0;1.0;0;1;0;49140;0;0;0;0;2;1;0;0;1;0;21;194.64532;18;0
mixMax;lvl-280.txt;WIN;3120.0;1.0;0;0;0;48300;0;0;0;0;0;0;0;0;0;0;19;181.35999;17;0
mixMax;lvl-286.txt;WIN;3120.0;1.0;0;0;0;48780;0;0;0;0;2;2;0;0;0;0;20;235.63794;24;0
mixMax;lvl-293.txt;LOSE;249.19632;0.07987062;0;0;0;58890;0;0;0;0;0;0;0;0;0;0;2;117.10927;15;0
mixMax;lvl-310.txt;WIN;3120.0;1.0;0;0;0;49890;0;0;0;0;2;2;0;0;0;0;16;390.19147;35;0
mixMax;lvl-326.txt;WIN;3120.0;1.0;0;0;0;48690;0;0;0;0;0;0;0;0;0;0;19;183.66187;17;0
mixMax;lvl-327.txt;WIN;3120.0;1.0;0;1;0;49140;0;0;0;0;3;0;0;0;3;0;25;196.13812;17;0
mixMax;lvl-342.txt;WIN;3120.0;1.0;0;1;0;49080;0;0;0;0;0;0;0;0;0;0;23;172.526;17;0
mixMax;lvl-389.txt;WIN;3120.0;1.0;0;1;0;48510;0;0;0;0;2;1;0;0;1;0;21;277.08112;26;0
mixMax;lvl-390.txt;WIN;3120.0;1.0;0;0;0;49410;0;0;0;0;1;0;0;0;1;0;19;200.94116;19;0
mixMax;lvl-393.txt;WIN;3120.0;1.0;0;1;0;49290;0;0;0;0;0;0;0;0;0;0;22;208.79187;19;0
mixMax;lvl-40.txt;LOSE;967.61176;0.31013197;0;1;0;56730;0;0;0;0;0;0;0;0;0;0;7;164.34357;15;0
mixMax;lvl-459.txt;WIN;3120.0;1.0;0;0;0;49410;0;0;0;0;1;0;0;0;1;0;20;182.31079;17;0
mixMax;lvl-48.txt;WIN;3120.0;1.0;0;0;0;48840;0;0;0;0;2;2;0;0;0;0;19;213.31436;19;0
mixMax;lvl-490.txt;WIN;3120.0;1.0;0;1;0;49830;0;0;0;0;2;1;0;0;1;0;21;214.09009;19;0
mixMax;lvl-497.txt;WIN;3120.0;1.0;0;1;0;50100;0;0;0;0;0;0;0;0;0;0;23;173.42358;15;0
mixMax;lvl-500.txt;WIN;3120.0;1.0;0;0;0;48690;0;0;0;0;0;0;0;0;0;0;20;191.80762;19;0
mixMax;lvl-520.txt;WIN;3120.0;1.0;0;0;0;49500;0;0;0;0;4;4;0;0;0;0;18;284.39136;30;0
mixMax;lvl-527.txt;WIN;3120.0;1.0;0;0;0;49560;0;0;0;0;0;0;0;0;0;0;22;180.81024;16;0
mixMax;lvl-556.txt;WIN;3120.0;1.0;0;0;0;48900;0;0;0;0;2;0;0;0;2;0;21;206.12848;19;0
mixMax;lvl-576.txt;WIN;3120.0;1.0;0;0;0;48960;0;0;0;0;2;1;0;0;1;0;20;201.52429;19;0
mixMax;lvl-60.txt;WIN;3120.0;1.0;0;1;0;48930;0;0;0;0;2;1;0;0;1;0;23;208.33157;20;0
mixMax;lvl-69.txt;WIN;3120.0;1.0;0;0;0;49200;0;0;0;0;0;0;0;0;0;0;22;209.61646;19;0
mixMax;lvl-690.txt;WIN;3120.0;1.0;0;2;0;49290;0;0;0;0;1;1;0;0;0;0;22;216.18896;19;0
mixMax;lvl-699.txt;WIN;3120.0;1.0;0;0;0;49590;0;0;0;0;2;2;0;0;0;0;19;238.38568;22;0
mixMax;lvl-709.txt;WIN;3120.0;1.0;0;0;0;48510;0;0;0;0;2;2;0;0;0;0;18;265.50317;25;0
mixMax;lvl-730.txt;WIN;3120.0;1.0;0;0;0;48090;0;0;0;0;3;3;0;0;0;0;18;221.95715;21;0
mixMax;lvl-780.txt;WIN;3120.0;1.0;0;0;0;49260;0;0;0;0;3;3;0;0;0;0;21;340.9829;32;0
mixMax;lvl-783.txt;WIN;3120.0;1.0;0;0;0;48540;0;0;0;0;2;0;0;0;2;0;21;185.32007;17;0
mixMax;lvl-795.txt;LOSE;220.49;0.070669875;0;0;0;58140;0;1;0;0;0;0;0;0;0;0;4;89.54314;14;0
mixMax;lvl-803.txt;WIN;3120.0;1.0;0;0;0;48480;0;0;0;0;3;3;0;0;0;0;18;250.7915;25;0
mixMax;lvl-815.txt;WIN;3120.0;1.0;0;0;0;49110;0;0;0;0;2;0;0;0;2;0;20;191.19336;18;0
