Agent Name;Level Name;Game Status;Final X Position;Completion Percentage;Remaining Lives;Remaining Coins;Collected Coins;Remaining Time in MS;Mario Mode;Mario Damage Taken;Mushrooms Collected;Fireflowers Collected;Total Kills;Kill by Stomp;Kills by Fire;Kills by Shell;Kills by Fall;Destroyed Bricks;Jumps;Max X Jump;Max Air Time;Overtime
mixMax;og-lvl-1.txt;WIN;3168.0;1.0;0;2;0;49650;0;0;0;0;4;4;0;0;0;0;20;266.74072;24;0
mixMax;og-lvl-10.txt;LOSE;1235.8683;0.5254542;0;0;0;56160;0;0;0;0;0;0;0;0;0;0;8;182.62238;16;0
mixMax;og-lvl-11.txt;WIN;2880.0;1.0;0;2;0;47760;0;0;0;0;0;0;0;0;0;0;25;188.35059;20;0
mixMax;og-lvl-12.txt;LOSE;238.24136;0.07056913;0;0;0;58110;0;1;0;0;0;0;0;0;0;0;5;62.48442;14;0
mixMax;og-lvl-13.txt;WIN;2608.0;1.0;0;6;0;51510;0;0;0;0;0;0;0;0;0;0;17;198.45435;18;0
mixMax;og-lvl-14.txt;WIN;2752.0;1.0;0;1;0;49320;0;0;0;0;3;3;0;0;0;0;22;205.4408;18;0
mixMax;og-lvl-15.txt;LOSE;460.991;0.07808113;0;0;0;56790;0;1;0;0;3;3;0;0;0;0;5;350.53876;49;0
mixMax;og-lvl-2.txt;LOSE;1663.6234;0.66651577;0;6;0;53070;0;1;0;0;4;4;0;0;0;0;13;182.75958;17;0
mixMax;og-lvl-3.txt;WIN;2352.0;1.0;0;2;0;51720;0;0;0;0;2;2;0;0;0;0;16;216.52576;20;0
mixMax;og-lvl-4.txt;LOSE;637.63446;0.20648785;0;0;0;55920;0;1;0;0;1;1;0;0;0;0;7;96.41558;15;0
mixMax;og-lvl-5.txt;WIN;3088.0;1.0;0;1;0;48060;0;0;0;0;5;5;0;0;0;0;21;263.3014;24;0
mixMax;og-lvl-6.txt;LOSE;951.4366;0.40452236;0;2;0;56820;0;0;0;0;0;0;0;0;0;0;6;123.04047;11;0
mixMax;og-lvl-7.txt;WIN;3488.0;1.0;0;7;0;44880;0;0;0;0;0;0;0;0;0;0;31;177.68518;19;0
mixMax;og-lvl-8.txt;WIN;2976.0;1.0;0;0;0;49260;0;0;0;0;0;0;0;0;0;0;20;173.0061;15;0
mixMax;og-lvl-9.txt;LOSE;732.2;0.23588918;0;0;0;56250;0;1;0;0;1;1;0;0;0;0;7;172.0615;19;0
mixMax;ore-lvl-107.txt;WIN;3088.0;1.0;0;1;0;49920;0;0;0;0;12;3;0;0;9;0;19;332.14087;30;0
mixMax;ore-lvl-133.txt;LOSE;497.1787;0.16100347;0;0;0;58050;0;0;0;0;1;1;0;0;0;0;4;119.96156;13;0
mixMax;ore-lvl-137.txt;LOSE;2408.1848;0.77985257;0;0;0;51780;0;0;0;0;3;1;0;0;2;0;16;201.28674;21;0
mixMax;ore-lvl-192.txt;WIN;3088.0;1.0;0;0;0;50190;0;0;0;0;8;2;0;0;6;0;20;250.71887;23;0
mixMax;ore-lvl-25.txt;WIN;3088.0;1.0;0;2;0;48990;0;0;0;0;4;1;0;0;3;0;22;189.32544;17;0
mixMax;ore-lvl-286.txt;WIN;3088.0;1.0;0;2;0;49770;0;0;0;0;9;1;0;0;8;0;20;174.53564;15;0
mixMax;ore-lvl-288.txt;WIN;3088.0;1.0;0;0;0;49200;0;0;0;0;2;0;0;0;2;0;26;188.59106;18;0
mixMax;ore-lvl-356.txt;WIN;3088.0;1.0;0;1;0;49380;0;0;0;0;4;0;0;0;4;0;24;206.65674;18;0
mixMax;ore-lvl-396.txt;LOSE;814.0995;0.26363325;0;0;0;57000;0;0;0;0;1;0;0;0;1;0;6;232.33643;21;0
mixMax;ore-lvl-424.txt;LOSE;1417.3911;0.45899972;0;0;0;55020;0;0;0;0;6;2;0;0;4;0;10;244.63974;26;0
mixMax;ore-lvl-478.txt;WIN;3088.0;1.0;0;1;0;49770;0;0;0;0;2;1;0;0;1;0;19;258.0066;24;0
mixMax;ore-lvl-485.txt;LOSE;370.08633;0.11984661;0;0;0;58560;0;0;0;0;0;0;0;0;0;0;3;95.72002;10;0
mixMax;ore-lvl-510.txt;WIN;3088.0;1.0;0;1;0;50100;0;0;0;0;7;2;0;0;5;0;20;211.24109;20;0
mixMax;ore-lvl-516.txt;WIN;3088.0;1.0;0;0;0;50070;0;0;0;0;2;1;0;0;1;0;20;193.96448;17;0
mixMax;ore-lvl-540.txt;TIME_OUT;2853.022;0.9239061;0;1;0;0;0;0;0;0;3;3;0;0;0;0;184;250.36609;24;0
mixMax;ore-lvl-550.txt;LOSE;317.34238;0.10276631;0;0;0;58770;0;0;0;0;1;0;0;0;1;0;3;68.31678;7;0
mixMax;ore-lvl-57.txt;WIN;3088.0;1.0;0;1;0;49830;0;0;0;0;6;2;0;0;4;0;22;283.3418;28;0
mixMax;ore-lvl-586.txt;WIN;3088.0;1.0;0;0;0;49830;0;0;0;0;2;0;0;0;2;0;23;219.99084;21;0
mixMax;ore-lvl-59.txt;LOSE;2711.9795;0.8782317;0;1;0;51450;0;0;0;0;3;1;0;0;2;0;18;203.8263;19;0
mixMax;ore-lvl-606.txt;LOSE;2634.5002;0.85314125;0;0;0;51900;0;0;0;0;0;0;0;0;0;0;18;217.97949;19;0
mixMax;ore-lvl-62.txt;LOSE;2562.7021;0.8298906;0;0;0;52230;0;0;0;0;3;0;0;0;3;0;15;203.95306;18;0
mixMax;ore-lvl-626.txt;WIN;3088.0;1.0;0;1;0;49950;0;0;0;0;6;2;0;0;4;0;19;259.9712;26;0
