Agent Name;Level Name;Game Status;Final X Position;Completion Percentage;Remaining Lives;Remaining Coins;Collected Coins;Remaining Time in MS;Mario Mode;Mario Damage Taken;Mushrooms Collected;Fireflowers Collected;Total Kills;Kill by Stomp;Kills by Fire;Kills by Shell;Kills by Fall;Destroyed Bricks;Jumps;Max X Jump;Max Air Time;Overtime
partialRoulette;lvl-101,txt;LOSE;299,0437;0,09584734;0;0;0;19350;0;1;0;0;0;0;0;0;0;0;105;33,891113;15;0
partialRoulette;lvl-101,txt;LOSE;244,89323;0,07849142;0;0;0;48480;0;0;0;0;0;0;0;0;0;0;28;36,10768;13;0
partialRoulette;lvl-101,txt;LOSE;298,85422;0,09578661;0;0;0;8550;0;1;0;0;0;0;0;0;0;0;129;34,062668;15;0
partialRoulette;lvl-101,txt;LOSE;566,6394;0,18161519;0;0;0;44460;0;0;0;0;0;0;0;0;0;0;37;36,250153;14;0
partialRoulette;lvl-101,txt;LOSE;311,7535;0,099920996;0;0;0;50640;0;1;0;0;0;0;0;0;0;0;23;33,607185;12;0
partialRoulette;lvl-121,txt;LOSE;323,6539;0,10373522;0;0;0;52110;0;0;0;0;0;0;0;0;0;0;19;50,64402;15;0
partialRoulette;lvl-121,txt;LOSE;558,66846;0,1790604;0;1;0;35310;0;0;0;0;3;0;0;0;3;0;63;39,563324;13;0
partialRoulette;lvl-121,txt;LOSE;491,63824;0,15757637;0;1;0;42930;0;0;0;0;3;1;0;0;2;0;42;43,83162;14;0
partialRoulette;lvl-121,txt;LOSE;310,59286;0,099548995;0;0;0;50370;0;0;0;0;1;0;0;0;1;0;23;26,735535;13;0
partialRoulette;lvl-121,txt;LOSE;506,9411;0,16248113;0;2;0;49620;0;0;0;0;2;1;0;0;1;0;25;34,635468;21;0
partialRoulette;lvl-135,txt;LOSE;1117,3604;0,3581283;0;0;0;22980;0;0;0;0;2;1;0;0;1;0;94;68,461;30;0
partialRoulette;lvl-135,txt;LOSE;1124,4169;0,36039004;0;3;0;23670;0;0;0;0;3;2;0;0;1;0;92;46,917236;27;0
partialRoulette;lvl-135,txt;TIME_OUT;900,6047;0,28865534;0;5;0;0;0;0;0;0;1;0;0;0;1;0;152;40,766785;15;0
partialRoulette;lvl-135,txt;LOSE;1113,6018;0,35692367;0;2;0;25560;0;0;0;0;3;2;0;0;1;0;82;66,984314;20;0
partialRoulette;lvl-135,txt;LOSE;1110,5687;0,35595152;0;2;0;12960;0;0;0;0;2;1;0;0;1;0;113;53,326355;17;0
partialRoulette;lvl-146,txt;LOSE;1614,5372;0,5174799;0;1;0;11880;1;0;11;0;1;1;0;0;0;0;120;60,597595;27;0
partialRoulette;lvl-146,txt;LOSE;1547,2959;0,49592817;0;0;0;9780;0;10;10;0;1;1;0;0;0;0;125;51,12549;15;0
partialRoulette;lvl-146,txt;TIME_OUT;1382,7511;0,44318944;0;0;0;0;1;0;10;0;1;1;0;0;0;0;147;42,36731;20;0
partialRoulette;lvl-146,txt;TIME_OUT;1446,9338;0,46376085;0;0;0;0;2;0;10;10;2;1;1;0;0;0;148;57,165466;31;0
partialRoulette;lvl-146,txt;TIME_OUT;1348,1744;0,43210718;0;0;0;0;1;0;10;0;2;2;0;0;0;0;149;64,32007;31;0
partialRoulette;lvl-163,txt;LOSE;180,6502;0,05790071;0;0;0;54630;0;0;0;0;0;0;0;0;0;0;10;28,185463;15;0
partialRoulette;lvl-163,txt;LOSE;172,69017;0,055349413;0;0;0;40890;0;0;0;0;0;0;0;0;0;0;46;39,67039;14;0
partialRoulette;lvl-163,txt;LOSE;185,7141;0,05952375;0;0;0;56280;0;1;0;0;0;0;0;0;0;0;10;43,274048;13;0
partialRoulette;lvl-163,txt;LOSE;178,12276;0,05709063;0;0;0;51540;0;0;0;0;0;0;0;0;0;0;21;32,84132;14;0
partialRoulette;lvl-163,txt;LOSE;181,46605;0,058162194;0;0;0;54780;0;0;0;0;0;0;0;0;0;0;13;39,451653;12;0
partialRoulette;lvl-20,txt;LOSE;172,06638;0,05514948;0;0;0;53910;0;0;0;0;0;0;0;0;0;0;15;27,302208;11;0
partialRoulette;lvl-20,txt;LOSE;181,25267;0,058093805;0;0;0;57330;0;0;0;0;0;0;0;0;0;0;6;39,014336;10;0
partialRoulette;lvl-20,txt;LOSE;613,3367;0,19658227;0;0;0;25200;0;0;0;0;1;1;0;0;0;0;88;47,26477;25;0
partialRoulette;lvl-20,txt;LOSE;402,3051;0,12894395;0;0;0;37470;0;0;0;0;0;0;0;0;0;0;54;38,09262;14;0
partialRoulette;lvl-20,txt;LOSE;436,61032;0,1399392;0;0;0;20460;0;0;0;0;0;0;0;0;0;0;99;48,418762;15;0
partialRoulette;lvl-232,txt;LOSE;311,16077;0,09973101;0;0;0;46800;0;0;0;0;0;0;0;0;0;0;31;56,21811;15;0
partialRoulette;lvl-232,txt;LOSE;372,0353;0,11924209;0;0;0;54480;0;0;0;0;0;0;0;0;0;0;14;46,04471;13;0
partialRoulette;lvl-232,txt;LOSE;566,89575;0,18169735;0;0;0;40410;0;0;0;0;0;0;0;0;0;0;48;55,027374;13;0
partialRoulette;lvl-232,txt;LOSE;572,3547;0,18344702;0;0;0;36420;0;0;0;0;0;0;0;0;0;0;61;47,818054;15;0
partialRoulette;lvl-232,txt;LOSE;554,3718;0,17768328;0;0;0;37380;0;0;0;0;0;0;0;0;0;0;56;50,81212;15;0
partialRoulette;lvl-249,txt;LOSE;501,7335;0,16081202;0;0;0;48990;0;0;0;0;0;0;0;0;0;0;25;42,649353;13;0
partialRoulette;lvl-249,txt;LOSE;590,2439;0,18918073;0;0;0;48720;0;0;0;0;0;0;0;0;0;0;28;49,055176;13;0
partialRoulette;lvl-249,txt;LOSE;329,28397;0,10553973;0;0;0;51480;0;0;0;0;0;0;0;0;0;0;22;30,216177;12;0
partialRoulette;lvl-249,txt;LOSE;320,26044;0,10264757;0;0;0;46590;0;0;0;0;0;0;0;0;0;0;33;27,203476;12;0
