Agent Name;Level Name;Game Status;Final X Position;Completion Percentage;Remaining Lives;Remaining Coins;Collected Coins;Remaining Time in MS;Mario Mode;Mario Damage Taken;Mushrooms Collected;Fireflowers Collected;Total Kills;Kill by Stomp;Kills by Fire;Kills by Shell;Kills by Fall;Destroyed Bricks;Jumps;Max X Jump;Max Air Time;Overtime
partialRoulette;lvl-101.txt;LOSE;566.6394;0.18161519;0;0;0;44460;0;0;0;0;0;0;0;0;0;0;37;36.250153;14;0
partialRoulette;lvl-121.txt;LOSE;506.9411;0.16248113;0;2;0;49620;0;0;0;0;2;1;0;0;1;0;25;34.635468;21;0
partialRoulette;lvl-135.txt;LOSE;1110.5687;0.35595152;0;2;0;12960;0;0;0;0;2;1;0;0;1;0;113;53.326355;17;0
partialRoulette;lvl-146.txt;TIME_OUT;1382.7511;0.44318944;0;0;0;0;1;0;10;0;1;1;0;0;0;0;147;42.36731;20;0
partialRoulette;lvl-163.txt;LOSE;178.12276;0.05709063;0;0;0;51540;0;0;0;0;0;0;0;0;0;0;21;32.84132;14;0
partialRoulette;lvl-20.txt;LOSE;181.25267;0.058093805;0;0;0;57330;0;0;0;0;0;0;0;0;0;0;6;39.014336;10;0
partialRoulette;lvl-232.txt;LOSE;554.3718;0.17768328;0;0;0;37380;0;0;0;0;0;0;0;0;0;0;56;50.81212;15;0
partialRoulette;lvl-249.txt;LOSE;575.7995;0.18455112;0;0;0;34020;0;0;0;0;0;0;0;0;0;0;63;35.888412;15;0
partialRoulette;lvl-252.txt;LOSE;317.4532;0.10174782;0;0;0;45510;0;1;0;0;0;0;0;0;0;0;36;28.651321;14;0
partialRoulette;lvl-280.txt;LOSE;301.32547;0.09657868;0;0;0;22440;0;1;0;0;0;0;0;0;0;0;93;38.653366;15;0
partialRoulette;lvl-286.txt;LOSE;628.32007;0.20138463;0;0;0;33300;0;0;0;0;0;0;0;0;0;0;66;48.84021;14;0
partialRoulette;lvl-293.txt;LOSE;289.54135;0.09280171;0;0;0;29490;0;1;0;0;0;0;0;0;0;0;79;39.989574;16;0
partialRoulette;lvl-310.txt;LOSE;516.86456;0.16566172;0;0;0;41340;0;0;0;0;0;0;0;0;0;0;47;41.14679;14;0
partialRoulette;lvl-326.txt;LOSE;575.1048;0.18432847;0;3;0;39900;1;0;10;0;0;0;0;0;0;0;49;36.41741;14;0
partialRoulette;lvl-327.txt;LOSE;970.4;0.31102565;0;8;0;22290;1;0;10;0;3;0;0;0;3;1;94;58.45629;15;0
partialRoulette;lvl-342.txt;LOSE;886.251;0.2840548;0;4;0;25290;0;0;0;0;0;0;0;0;0;0;91;45.579468;13;0
partialRoulette;lvl-389.txt;LOSE;639.8824;0.20509051;0;4;0;29850;0;11;10;0;6;2;0;1;3;0;84;43.662994;28;0
partialRoulette;lvl-390.txt;LOSE;680.58954;0.21813767;0;1;0;43920;0;3;0;0;6;3;0;1;2;0;38;75.5777;27;0
partialRoulette;lvl-393.txt;TIME_OUT;1729.7417;0.5544044;0;4;0;0;2;0;10;10;0;0;0;0;0;3;154;43.048737;15;0
partialRoulette;lvl-40.txt;LOSE;532.6708;0.17072782;0;2;0;36150;1;0;10;0;6;6;0;0;0;1;55;46.031033;27;0
partialRoulette;lvl-459.txt;LOSE;356.0555;0.11412036;0;2;0;43440;0;1;0;0;8;1;0;0;7;0;41;41.53798;22;0
partialRoulette;lvl-48.txt;LOSE;280.80164;0.090000525;0;0;0;45300;0;1;0;0;1;1;0;0;0;0;36;41.30641;19;0
partialRoulette;lvl-490.txt;LOSE;57.91619;0.018562881;0;0;0;57600;0;1;0;0;1;1;0;0;0;0;5;13.964461;11;0
partialRoulette;lvl-497.txt;LOSE;348.79214;0.111792356;0;0;0;47280;0;1;0;0;0;0;0;0;0;0;32;37.455322;15;0
partialRoulette;lvl-500.txt;LOSE;1127.7577;0.3614608;0;7;0;12480;1;0;10;0;0;0;0;0;0;2;134;32.675537;15;0
partialRoulette;lvl-520.txt;LOSE;569.91113;0.18266383;0;3;0;46650;1;0;13;0;15;12;0;1;2;1;36;42.94864;24;0
partialRoulette;lvl-527.txt;LOSE;453.8985;0.14548029;0;0;0;49950;0;1;0;0;0;0;0;0;0;0;25;45.390015;13;0
partialRoulette;lvl-556.txt;LOSE;575.5772;0.18447988;0;5;0;41610;0;1;0;0;1;0;0;0;1;0;48;62.47708;13;0
partialRoulette;lvl-576.txt;LOSE;503.86523;0.16149527;0;0;0;44700;0;0;0;0;0;0;0;0;0;0;37;46.871094;14;0
partialRoulette;lvl-60.txt;LOSE;513.9314;0.16472161;0;5;0;31380;0;1;0;0;4;2;0;0;2;0;77;49.56543;30;0
partialRoulette;lvl-69.txt;LOSE;1604.59;0.51429164;0;4;0;11160;1;0;10;0;0;0;0;0;0;3;122;51.40271;14;0
partialRoulette;lvl-690.txt;LOSE;632.6167;0.20276177;0;4;0;34230;1;0;10;0;3;3;0;0;0;0;61;98.841064;50;0
partialRoulette;lvl-699.txt;LOSE;177.17427;0.056786627;0;0;0;53910;0;0;0;0;0;0;0;0;0;0;14;36.37304;15;0
partialRoulette;lvl-709.txt;LOSE;62.712124;0.02010004;0;0;0;57690;0;2;0;0;1;1;0;0;0;0;6;16.409704;10;0
partialRoulette;lvl-730.txt;LOSE;336.15454;0.10774184;0;0;0;51450;0;1;0;0;0;0;0;0;0;0;20;48.732666;14;0
partialRoulette;lvl-780.txt;LOSE;183.84502;0.058924686;0;0;0;54810;0;0;0;0;0;0;0;0;0;0;13;28.563179;12;0
partialRoulette;lvl-783.txt;LOSE;187.39609;0.060062848;0;0;0;53640;0;0;0;0;1;0;0;0;1;0;16;29.989052;13;0
partialRoulette;lvl-795.txt;LOSE;219.3921;0.07031798;0;0;0;38070;0;1;0;0;0;0;0;0;0;0;56;27.340881;14;0
partialRoulette;lvl-803.txt;LOSE;261.0276;0.08366269;0;0;0;53580;0;1;0;0;0;0;0;0;0;0;16;38.305557;11;0
partialRoulette;lvl-815.txt;LOSE;130.47858;0.041820057;0;0;0;58410;0;1;0;0;1;0;0;0;1;0;5;36.10695;13;0
partialRoulette;lvl-873.txt;LOSE;342.5762;0.10980006;0;0;0;48960;0;1;0;0;1;0;0;0;1;0;26;33.637672;14;0
partialRoulette;lvl-884.txt;LOSE;156.2;0.0500641;0;0;0;39390;0;0;0;0;0;0;0;0;0;0;51;34.225143;15;0
partialRoulette;lvl-901.txt;LOSE;447.64856;0.1434771;0;1;0;30450;0;1;0;0;1;0;0;0;1;0;77;37.428802;14;0
partialRoulette;lvl-925.txt;LOSE;318.0152;0.10192795;0;0;0;54000;0;0;0;0;0;0;0;0;0;0;15;57.923126;12;0
partialRoulette;lvl-926.txt;LOSE;173.77953;0.055698566;0;0;0;47640;0;0;0;0;0;0;0;0;0;0;32;41.76789;12;0
partialRoulette;lvl-941.txt;LOSE;152.62727;0.048919;0;0;0;53610;0;1;0;0;1;1;0;0;0;0;15;58.57051;16;0
partialRoulette;lvl-959.txt;LOSE;289.68295;0.0928471;0;1;0;56190;0;1;0;0;2;1;0;0;1;0;10;42.75479;15;0
partialRoulette;lvl-969.txt;LOSE;177.45862;0.056877762;0;0;0;53520;0;0;0;0;0;0;0;0;0;0;16;25.666908;12;0
partialRoulette;lvl-982.txt;LOSE;889.556;0.2851141;0;4;0;24180;1;0;10;0;1;1;0;0;0;2;98;36.21116;21;0
partialRoulette;lvl-996.txt;LOSE;377.10925;0.12086835;0;0;0;42240;0;0;0;0;2;0;0;0;2;0;45;32.56275;16;0
