Agent Name;Level Name;Game Status;Final X Position;Completion Percentage;Remaining Lives;Remaining Coins;Collected Coins;Remaining Time in MS;Mario Mode;Mario Damage Taken;Mushrooms Collected;Fireflowers Collected;Total Kills;Kill by Stomp;Kills by Fire;Kills by Shell;Kills by Fall;Destroyed Bricks;Jumps;Max X Jump;Max Air Time;Overtime
partialRoulette;og-lvl-1.txt;TIME_OUT;548.9324;0.17327411;0;1;0;0;0;0;0;0;1;1;0;0;0;0;154;50.982773;20;0
partialRoulette;og-lvl-10.txt;LOSE;191.61612;0.08146944;0;0;0;50100;0;0;0;0;0;0;0;0;0;0;24;43.9739;15;0
partialRoulette;og-lvl-11.txt;LOSE;214.00136;0.074306026;0;1;0;54090;0;0;0;0;0;0;0;0;0;0;14;36.21783;13;0
partialRoulette;og-lvl-12.txt;TIME_OUT;181.67921;0.053814933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149;40.194122;15;0
partialRoulette;og-lvl-13.txt;LOSE;300.3908;0.11518052;0;0;0;53280;0;0;0;0;0;0;0;0;0;0;16;50.25734;11;0
partialRoulette;og-lvl-14.txt;LOSE;149.17114;0.05420463;0;0;0;56820;0;1;0;0;0;0;0;0;0;0;8;24.698563;10;0
partialRoulette;og-lvl-15.txt;LOSE;443.0;0.07503387;0;0;0;5430;0;2;0;0;25;20;0;5;0;0;122;54.618927;35;0
partialRoulette;og-lvl-2.txt;TIME_OUT;462.5432;0.18531379;0;5;0;0;0;0;0;0;3;3;0;0;0;0;157;49.769127;20;0
partialRoulette;og-lvl-3.txt;LOSE;219.44972;0.09330346;0;0;0;52590;0;0;0;0;0;0;0;0;0;0;17;28.815018;15;0
partialRoulette;og-lvl-4.txt;LOSE;390.80765;0.12655687;0;1;0;27510;0;1;0;0;1;1;0;0;0;0;81;47.25833;23;0
partialRoulette;og-lvl-5.txt;LOSE;215.82234;0.069890656;0;1;0;51330;0;1;0;0;0;0;0;0;0;0;21;48.351105;13;0
partialRoulette;og-lvl-6.txt;LOSE;184.4989;0.07844341;0;0;0;54150;0;0;0;0;0;0;0;0;0;0;14;28.471626;12;0
partialRoulette;og-lvl-7.txt;LOSE;428.2;0.12276377;0;0;0;18750;0;0;0;0;0;0;0;0;0;0;106;40.996017;15;0
partialRoulette;og-lvl-8.txt;LOSE;204.134;0.06859341;0;0;0;55320;0;0;0;0;0;0;0;0;0;0;9;58.174088;22;0
partialRoulette;og-lvl-9.txt;LOSE;61.642525;0.01985906;0;0;0;58320;0;1;0;0;0;0;0;0;0;0;5;26.060307;10;0
partialRoulette;ore-lvl-107.txt;LOSE;128.65204;0.04166193;0;0;0;56940;0;0;0;0;2;1;0;0;1;0;8;15.812626;15;0
partialRoulette;ore-lvl-133.txt;LOSE;122.89739;0.03979838;0;0;0;57150;0;0;0;0;0;0;0;0;0;0;8;18.177467;8;0
partialRoulette;ore-lvl-137.txt;LOSE;236.89441;0.07671451;0;1;0;49530;0;0;0;0;1;1;0;0;0;0;32;57.23494;24;0
partialRoulette;ore-lvl-192.txt;LOSE;124.75978;0.040401485;0;1;0;56220;0;0;0;0;0;0;0;0;0;0;11;17.280045;10;0
partialRoulette;ore-lvl-25.txt;LOSE;244.46747;0.07916693;0;0;0;53400;0;0;0;0;0;0;0;0;0;0;19;46.088898;11;0
partialRoulette;ore-lvl-286.txt;LOSE;111.41175;0.036078934;0;0;0;57360;0;0;0;0;0;0;0;0;0;0;7;11.476601;10;0
partialRoulette;ore-lvl-288.txt;LOSE;267.74844;0.0867061;0;1;0;45300;0;0;0;0;2;0;0;0;2;0;44;47.593666;13;0
partialRoulette;ore-lvl-356.txt;LOSE;119.84191;0.03880891;0;0;0;57720;0;0;0;0;0;0;0;0;0;0;7;12.480606;6;0
partialRoulette;ore-lvl-396.txt;LOSE;92.90783;0.030086732;0;0;0;57390;0;0;0;0;0;0;0;0;0;0;6;34.66888;11;0
partialRoulette;ore-lvl-424.txt;LOSE;132.42363;0.0428833;0;0;0;55050;0;0;0;0;0;0;0;0;0;0;16;22.017334;6;0
partialRoulette;ore-lvl-478.txt;LOSE;455.2291;0.14741875;0;0;0;24780;0;0;0;0;2;1;0;1;0;0;94;41.042236;28;0
partialRoulette;ore-lvl-485.txt;LOSE;134.77429;0.043644525;0;1;0;55230;0;0;0;0;0;0;0;0;0;0;12;13.941822;14;0
partialRoulette;ore-lvl-510.txt;LOSE;113.864525;0.036873225;0;0;0;53880;0;0;0;0;1;0;0;0;1;0;14;25.437191;14;0
partialRoulette;ore-lvl-516.txt;LOSE;121.90852;0.03947815;0;0;0;56700;0;0;0;0;0;0;0;0;0;0;10;14.862873;12;0
partialRoulette;ore-lvl-540.txt;LOSE;134.23753;0.043470703;0;0;0;57450;0;0;0;0;1;0;0;0;1;0;7;12.497192;8;0
partialRoulette;ore-lvl-550.txt;LOSE;119.69;0.038759716;0;0;0;54780;0;0;0;0;2;0;0;0;2;0;15;14.245414;12;0
partialRoulette;ore-lvl-57.txt;LOSE;131.7742;0.04267299;0;0;0;53520;0;0;0;0;0;0;0;0;0;0;22;17.103424;10;0
partialRoulette;ore-lvl-586.txt;LOSE;104.1404;0.033724222;0;0;0;56910;0;0;0;0;1;0;0;0;1;0;8;15.22477;8;0
