Agent Name;Level Name;Game Status;Final X Position;Completion Percentage;Remaining Lives;Remaining Coins;Collected Coins;Remaining Time in MS;Mario Mode;Mario Damage Taken;Mushrooms Collected;Fireflowers Collected;Total Kills;Kill by Stomp;Kills by Fire;Kills by Shell;Kills by Fall;Destroyed Bricks;Jumps;Max X Jump;Max Air Time;Overtime
vanilla;lvl-101,txt;LOSE;2680,1018;0,859007;0;0;0;51300;0;0;0;0;0;0;0;0;0;0;17;218,18018;19;0
vanilla;lvl-101,txt;WIN;3120,0;1,0;0;0;0;49110;0;0;0;0;0;0;0;0;0;0;21;215,18604;19;0
vanilla;lvl-101,txt;WIN;3120,0;1,0;0;0;0;48360;0;0;0;0;0;0;0;0;0;0;24;218,17981;19;0
vanilla;lvl-101,txt;WIN;3120,0;1,0;0;0;0;48870;0;0;0;0;0;0;0;0;0;0;20;214,1969;19;0
vanilla;lvl-101,txt;WIN;3120,0;1,0;0;0;0;48510;0;0;0;0;0;0;0;0;0;0;24;218,16797;19;0
vanilla;lvl-121,txt;WIN;3120,0;1,0;0;0;0;50160;0;0;0;0;2;0;0;0;2;0;19;213,79126;19;0
vanilla;lvl-121,txt;WIN;3120,0;1,0;0;0;0;49950;0;0;0;0;2;0;0;0;2;0;19;213,55298;19;0
vanilla;lvl-121,txt;WIN;3120,0;1,0;0;0;0;50160;0;0;0;0;2;0;0;0;2;0;19;206,7887;19;0
vanilla;lvl-121,txt;WIN;3120,0;1,0;0;0;0;49950;0;0;0;0;2;0;0;0;2;0;19;217,12744;19;0
vanilla;lvl-121,txt;WIN;3120,0;1,0;0;0;0;50010;0;0;0;0;2;0;0;0;2;0;18;215,06665;19;0
vanilla;lvl-135,txt;WIN;3120,0;1,0;0;1;0;47880;0;0;0;0;0;0;0;0;0;0;20;169,56049;15;0
vanilla;lvl-135,txt;WIN;3120,0;1,0;0;0;0;47640;0;0;0;0;1;1;0;0;0;0;18;248,63017;25;0
vanilla;lvl-135,txt;WIN;3120,0;1,0;0;0;0;47520;0;0;0;0;1;1;0;0;0;0;18;245,20169;25;0
vanilla;lvl-135,txt;WIN;3120,0;1,0;0;0;0;47820;0;0;0;0;1;1;0;0;0;0;19;240,12943;24;0
vanilla;lvl-135,txt;WIN;3120,0;1,0;0;1;0;47760;0;0;0;0;0;0;0;0;0;0;19;168,21826;15;0
vanilla;lvl-146,txt;WIN;3120,0;1,0;0;0;0;47280;0;0;0;0;1;1;0;0;0;0;17;210,9037;20;0
vanilla;lvl-146,txt;WIN;3120,0;1,0;0;0;0;47130;0;0;0;0;1;1;0;0;0;0;19;208,18867;20;0
vanilla;lvl-146,txt;WIN;3120,0;1,0;0;0;0;46950;0;0;0;0;1;1;0;0;0;0;18;205,99156;20;0
vanilla;lvl-146,txt;WIN;3120,0;1,0;0;0;0;46470;0;0;0;0;0;0;0;0;0;0;20;165,01843;15;0
vanilla;lvl-146,txt;WIN;3120,0;1,0;0;0;0;46920;0;0;0;0;1;1;0;0;0;0;18;214,51195;20;0
vanilla;lvl-163,txt;LOSE;240,37083;0,07704193;0;0;0;58980;0;0;0;0;0;0;0;0;0;0;2;123,64603;15;0
vanilla;lvl-163,txt;LOSE;233,70108;0,074904196;0;0;0;58770;0;0;0;0;0;0;0;0;0;0;3;62,774666;11;0
vanilla;lvl-163,txt;LOSE;243,07771;0,07790952;0;0;0;58980;0;0;0;0;0;0;0;0;0;0;2;123,64603;15;0
vanilla;lvl-163,txt;LOSE;250,04247;0,08014181;0;0;0;58980;0;0;0;0;0;0;0;0;0;0;2;123,64603;15;0
