Agent Name;Level Name;Game Status;Final X Position;Completion Percentage;Remaining Lives;Remaining Coins;Collected Coins;Remaining Time in MS;Mario Mode;Mario Damage Taken;Mushrooms Collected;Fireflowers Collected;Total Kills;Kill by Stomp;Kills by Fire;Kills by Shell;Kills by Fall;Destroyed Bricks;Jumps;Max X Jump;Max Air Time;Overtime
vanilla;lvl-101.txt;WIN;3120.0;1.0;0;0;0;49110;0;0;0;0;0;0;0;0;0;0;21;215.18604;19;0
vanilla;lvl-121.txt;WIN;3120.0;1.0;0;0;0;49950;0;0;0;0;2;0;0;0;2;0;19;213.55298;19;0
vanilla;lvl-135.txt;WIN;3120.0;1.0;0;1;0;47880;0;0;0;0;0;0;0;0;0;0;20;169.56049;15;0
vanilla;lvl-146.txt;WIN;3120.0;1.0;0;0;0;46920;0;0;0;0;1;1;0;0;0;0;18;214.51195;20;0
vanilla;lvl-163.txt;LOSE;240.37083;0.07704193;0;0;0;58980;0;0;0;0;0;0;0;0;0;0;2;123.64603;15;0
vanilla;lvl-20.txt;LOSE;227.42097;0.07289134;0;0;0;58890;0;0;0;0;0;0;0;0;0;0;2;116.58308;15;0
vanilla;lvl-232.txt;WIN;3120.0;1.0;0;0;0;48060;0;0;0;0;0;0;0;0;0;0;19;203.51028;18;0
vanilla;lvl-249.txt;WIN;3120.0;1.0;0;0;0;49140;0;0;0;0;1;1;0;0;0;0;17;246.48218;23;0
vanilla;lvl-252.txt;WIN;3120.0;1.0;0;0;0;48000;0;0;0;0;2;1;0;0;1;0;20;195.45355;18;0
vanilla;lvl-280.txt;WIN;3120.0;1.0;0;0;0;48150;0;0;0;0;0;0;0;0;0;0;15;173.84558;16;0
vanilla;lvl-286.txt;WIN;3120.0;1.0;0;0;0;49050;0;0;0;0;2;2;0;0;0;0;16;426.47168;42;0
vanilla;lvl-293.txt;LOSE;248.3944;0.07961359;0;0;0;58890;0;0;0;0;0;0;0;0;0;0;3;77.12585;8;0
vanilla;lvl-310.txt;WIN;3120.0;1.0;0;0;0;48480;0;0;0;0;1;1;0;0;0;0;16;212.35852;19;0
vanilla;lvl-326.txt;WIN;3120.0;1.0;0;0;0;48240;0;0;0;0;0;0;0;0;0;0;16;210.39185;19;0
vanilla;lvl-327.txt;WIN;3120.0;1.0;0;0;0;48750;0;0;0;0;2;0;0;0;2;0;21;202.34277;19;0
vanilla;lvl-342.txt;WIN;3120.0;1.0;0;1;0;48270;0;0;0;0;1;1;0;0;0;0;24;165.85217;16;0
vanilla;lvl-389.txt;WIN;3120.0;1.0;0;1;0;49260;0;0;0;0;3;3;0;0;0;0;18;213.5953;19;0
vanilla;lvl-390.txt;WIN;3120.0;1.0;0;0;0;48240;0;0;0;0;2;1;0;0;1;0;17;189.46423;18;0
vanilla;lvl-393.txt;WIN;3120.0;1.0;0;1;0;49080;0;0;0;0;0;0;0;0;0;0;21;212.9071;19;0
vanilla;lvl-40.txt;WIN;3120.0;1.0;0;1;0;49020;0;0;0;0;0;0;0;0;0;0;21;179.21777;17;0
vanilla;lvl-459.txt;WIN;3120.0;1.0;0;1;0;49350;0;0;0;0;3;2;0;0;1;0;19;180.12958;17;0
vanilla;lvl-48.txt;WIN;3120.0;1.0;0;0;0;48660;0;0;0;0;2;2;0;0;0;0;18;213.35425;19;0
vanilla;lvl-490.txt;WIN;3120.0;1.0;0;0;0;49110;0;0;0;0;1;0;0;0;1;0;22;185.6377;17;0
vanilla;lvl-497.txt;WIN;3120.0;1.0;0;1;0;49890;0;0;0;0;0;0;0;0;0;0;23;214.88391;19;0
vanilla;lvl-500.txt;WIN;3120.0;1.0;0;0;0;48210;0;0;0;0;0;0;0;0;0;0;21;173.20532;15;0
vanilla;lvl-520.txt;WIN;3120.0;1.0;0;0;0;49470;0;0;0;0;4;4;0;0;0;0;17;245.5144;30;0
vanilla;lvl-527.txt;WIN;3120.0;1.0;0;0;0;48960;0;0;0;0;0;0;0;0;0;0;20;182.0697;16;0
vanilla;lvl-556.txt;WIN;3120.0;1.0;0;0;0;48960;0;0;0;0;2;0;0;0;2;0;22;205.00085;18;0
vanilla;lvl-576.txt;WIN;3120.0;1.0;0;0;0;48330;0;0;0;0;2;1;0;0;1;0;19;209.12854;19;0
vanilla;lvl-60.txt;WIN;3120.0;1.0;0;0;0;49200;0;0;0;0;1;0;0;0;1;0;18;206.3634;18;0
vanilla;lvl-69.txt;WIN;3120.0;1.0;0;0;0;48060;0;0;0;0;0;0;0;0;0;0;21;206.17474;19;0
vanilla;lvl-690.txt;WIN;3120.0;1.0;0;2;0;49530;0;0;0;0;1;1;0;0;0;0;21;216.18896;19;0
vanilla;lvl-699.txt;WIN;3120.0;1.0;0;1;0;49440;0;0;0;0;0;0;0;0;0;0;21;200.84753;18;0
vanilla;lvl-709.txt;WIN;3120.0;1.0;0;0;0;48600;0;0;0;0;3;3;0;0;0;0;15;204.60587;18;0
vanilla;lvl-730.txt;WIN;3120.0;1.0;0;0;0;47610;0;0;0;0;2;2;0;0;0;0;17;222.49377;21;0
vanilla;lvl-780.txt;WIN;3120.0;1.0;0;0;0;48720;0;0;0;0;2;2;0;0;0;0;19;297.45886;28;0
vanilla;lvl-783.txt;WIN;3120.0;1.0;0;0;0;47940;0;0;0;0;1;0;0;0;1;0;22;192.58908;18;0
vanilla;lvl-795.txt;WIN;3120.0;1.0;0;0;0;46680;0;0;0;0;2;1;0;0;1;0;19;171.656;15;0
vanilla;lvl-803.txt;WIN;3120.0;1.0;0;0;0;48330;0;0;0;0;2;2;0;0;0;0;17;256.0332;25;0
vanilla;lvl-815.txt;WIN;3120.0;1.0;0;0;0;48090;0;0;0;0;2;0;0;0;2;0;19;217.5058;19;0
vanilla;lvl-873.txt;WIN;3120.0;1.0;0;0;0;49200;0;0;0;0;1;1;0;0;0;0;19;216.37988;19;0
vanilla;lvl-884.txt;WIN;3120.0;1.0;0;0;0;48450;0;0;0;0;1;0;0;0;1;0;15;183.80835;16;0
vanilla;lvl-901.txt;WIN;3120.0;1.0;0;0;0;46350;0;0;0;0;0;0;0;0;0;0;22;204.84851;19;0
vanilla;lvl-925.txt;WIN;3120.0;1.0;0;0;0;48810;0;0;0;0;0;0;0;0;0;0;17;218.09167;19;0
vanilla;lvl-926.txt;WIN;3120.0;1.0;0;0;0;48060;0;0;0;0;1;0;0;0;1;0;18;217.98547;19;0
vanilla;lvl-941.txt;WIN;3120.0;1.0;0;0;0;48000;0;0;0;0;6;5;0;1;0;0;16;452.9516;59;0
vanilla;lvl-959.txt;WIN;3120.0;1.0;0;0;0;47370;0;0;0;0;1;0;0;0;1;0;17;168.82666;15;0
vanilla;lvl-969.txt;WIN;3120.0;1.0;0;0;0;46320;0;0;0;0;0;0;0;0;0;0;21;174.08661;15;0
vanilla;lvl-982.txt;WIN;3120.0;1.0;0;0;0;48990;0;0;0;0;0;0;0;0;0;0;19;212.88322;19;0
vanilla;lvl-996.txt;WIN;3120.0;1.0;0;0;0;48390;0;0;0;0;3;1;0;0;2;0;21;205.61389;19;0
