Agent Name;Level Name;Game Status;Final X Position;Completion Percentage;Remaining Lives;Remaining Coins;Collected Coins;Remaining Time in MS;Mario Mode;Mario Damage Taken;Mushrooms Collected;Fireflowers Collected;Total Kills;Kill by Stomp;Kills by Fire;Kills by Shell;Kills by Fall;Destroyed Bricks;Jumps;Max X Jump;Max Air Time;Overtime
vanilla;og-lvl-1.txt;WIN;3168.0;1.0;0;2;0;49320;0;0;0;0;3;3;0;0;0;0;21;199.28357;20;0
vanilla;og-lvl-10.txt;LOSE;1236.6239;0.5257755;0;0;0;56160;0;0;0;0;0;0;0;0;0;0;8;170.48657;16;0
vanilla;og-lvl-11.txt;LOSE;1019.06604;0.35384238;0;2;0;56070;0;1;0;0;0;0;0;0;0;0;9;155.61365;15;0
vanilla;og-lvl-12.txt;LOSE;667.8576;0.19782512;0;0;0;54930;0;1;0;0;0;0;0;0;0;0;11;206.94925;21;0
vanilla;og-lvl-13.txt;WIN;2608.0;1.0;0;5;0;51180;0;0;0;0;0;0;0;0;0;0;19;205.94312;18;0
vanilla;og-lvl-14.txt;WIN;2752.0;1.0;0;2;0;48900;0;0;0;0;4;4;0;0;0;0;20;201.98383;26;0
vanilla;og-lvl-15.txt;WIN;5904.0;1.0;0;6;0;31590;0;0;0;0;13;12;0;0;1;0;54;304.79095;38;0
vanilla;og-lvl-2.txt;LOSE;1659.7356;0.6649582;0;2;0;53040;0;1;0;0;3;3;0;0;0;0;16;210.3977;19;0
vanilla;og-lvl-3.txt;WIN;2352.0;1.0;0;2;0;51360;0;0;0;0;1;1;0;0;0;0;15;214.99292;19;0
vanilla;og-lvl-4.txt;LOSE;639.0437;0.2069442;0;0;0;55290;0;1;0;0;1;1;0;0;0;0;10;96.41558;15;0
vanilla;og-lvl-5.txt;WIN;3088.0;1.0;0;1;0;46710;0;0;0;0;5;5;0;0;0;0;23;264.188;24;0
vanilla;og-lvl-6.txt;LOSE;966.1203;0.41076544;0;4;0;56910;0;0;0;0;0;0;0;0;0;0;6;126.55792;11;0
vanilla;og-lvl-7.txt;LOSE;2011.7982;0.57677704;0;6;0;49320;0;1;0;0;0;0;0;0;0;0;23;172.91858;19;0
vanilla;og-lvl-8.txt;WIN;2976.0;1.0;0;0;0;49410;0;0;0;0;0;0;0;0;0;0;16;173.01111;15;0
vanilla;og-lvl-9.txt;LOSE;750.6211;0.2418238;0;0;0;56070;0;1;0;0;1;1;0;0;0;0;8;184.80876;19;0
vanilla;ore-lvl-107.txt;WIN;3088.0;1.0;0;1;0;49800;0;0;0;0;11;3;0;0;8;0;20;194.09015;17;0
vanilla;ore-lvl-133.txt;LOSE;500.6076;0.16211386;0;0;0;58020;0;0;0;0;1;1;0;0;0;0;4;121.72006;12;0
vanilla;ore-lvl-137.txt;LOSE;1832.629;0.59346795;0;0;0;53700;0;0;0;0;3;2;0;0;1;0;12;177.56795;21;0
vanilla;ore-lvl-192.txt;WIN;3088.0;1.0;0;0;0;50040;0;0;0;0;8;2;0;0;6;0;18;276.70764;25;0
vanilla;ore-lvl-25.txt;WIN;3088.0;1.0;0;1;0;49530;0;0;0;0;4;1;0;0;3;0;21;214.34888;19;0
vanilla;ore-lvl-286.txt;WIN;3088.0;1.0;0;2;0;49620;0;0;0;0;11;3;0;0;8;0;21;174.1626;17;0
vanilla;ore-lvl-288.txt;WIN;3088.0;1.0;0;1;0;48840;0;0;0;0;4;2;0;0;2;0;26;157.7727;17;0
vanilla;ore-lvl-356.txt;WIN;3088.0;1.0;0;1;0;49530;0;0;0;0;4;0;0;0;4;0;21;206.8562;18;0
vanilla;ore-lvl-396.txt;WIN;3088.0;1.0;0;1;0;48960;0;0;0;0;8;4;0;0;4;0;21;337.46295;32;0
