Agent Name;Level Name;Game Status;Final X Position;Completion Percentage;Remaining Lives;Remaining Coins;Collected Coins;Remaining Time in MS;Mario Mode;Mario Damage Taken;Mushrooms Collected;Fireflowers Collected;Total Kills;Kill by Stomp;Kills by Fire;Kills by Shell;Kills by Fall;Destroyed Bricks;Jumps;Max X Jump;Max Air Time;Overtime
aStarNo1000SubtractBetterEstimation;lvl-101.txt;WIN;3120.0;1.0;0;0;0;50670;0;0;0;0;0;0;0;0;0;0;16;149.26602;14;-2361
aStarNo1000SubtractBetterEstimation;lvl-121.txt;WIN;3120.0;1.0;0;0;0;51090;0;0;0;0;2;1;0;0;1;0;12;130.90869;11;-2374
aStarNo1000SubtractBetterEstimation;lvl-135.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;4;152.72803;13;-7780
aStarNo1000SubtractBetterEstimation;lvl-146.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;3;118.92041;10;-10933
aStarNo1000SubtractBetterEstimation;lvl-163.txt;WIN;3120.0;1.0;0;0;0;50790;0;0;0;0;1;1;0;0;0;0;6;117.82767;12;-10729
aStarNo1000SubtractBetterEstimation;lvl-20.txt;WIN;3120.0;1.0;0;0;0;50430;0;0;0;0;3;3;0;0;0;0;14;141.81519;12;-5489
aStarNo1000SubtractBetterEstimation;lvl-232.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;1;1;0;0;0;0;10;141.77844;12;-10675
aStarNo1000SubtractBetterEstimation;lvl-249.txt;LOSE;1802.9713;0.57787544;0;0;0;54420;0;0;0;0;1;1;0;0;0;0;8;163.3294;14;-151
aStarNo1000SubtractBetterEstimation;lvl-252.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;2;2;0;0;0;0;6;316.2646;28;-10132
aStarNo1000SubtractBetterEstimation;lvl-280.txt;WIN;3120.0;1.0;0;0;0;50700;0;0;0;0;0;0;0;0;0;0;9;114.82645;14;-3242
aStarNo1000SubtractBetterEstimation;lvl-286.txt;LOSE;1634.5975;0.52390945;0;1;0;54630;0;0;0;0;2;2;0;0;0;0;6;227.72595;20;-152
aStarNo1000SubtractBetterEstimation;lvl-293.txt;LOSE;188.04079;0.060269482;0;0;0;58200;0;1;0;0;0;0;0;0;0;0;3;67.78217;11;-40
aStarNo1000SubtractBetterEstimation;lvl-310.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;1;1;0;0;0;0;10;185.38452;16;-8825
aStarNo1000SubtractBetterEstimation;lvl-326.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;8;98.18262;8;-10562
aStarNo1000SubtractBetterEstimation;lvl-327.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;2;0;0;0;2;0;3;97.69937;8;-11135
aStarNo1000SubtractBetterEstimation;lvl-342.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;8;163.62817;14;-3223
aStarNo1000SubtractBetterEstimation;lvl-389.txt;WIN;3120.0;1.0;0;1;0;51150;0;0;0;0;3;2;0;0;1;0;11;228.97266;20;-2367
aStarNo1000SubtractBetterEstimation;lvl-390.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;3;2;0;0;1;0;7;119.99963;10;-9996
aStarNo1000SubtractBetterEstimation;lvl-393.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;3;135.85915;12;-11221
aStarNo1000SubtractBetterEstimation;lvl-40.txt;LOSE;2315.022;0.7419942;0;1;0;53220;0;0;0;0;1;1;0;0;0;0;11;141.81775;12;-260
aStarNo1000SubtractBetterEstimation;lvl-459.txt;WIN;3120.0;1.0;0;0;0;51090;0;0;0;0;2;1;0;0;1;0;6;98.18262;8;-11055
aStarNo1000SubtractBetterEstimation;lvl-48.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;12;141.81934;12;-3706
aStarNo1000SubtractBetterEstimation;lvl-490.txt;WIN;3120.0;1.0;0;0;0;51090;0;0;0;0;2;2;0;0;0;0;9;141.81934;12;-4671
aStarNo1000SubtractBetterEstimation;lvl-497.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;3;118.637024;10;-11097
aStarNo1000SubtractBetterEstimation;lvl-500.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;3;98.18213;8;-10959
aStarNo1000SubtractBetterEstimation;lvl-520.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;3;3;0;0;0;0;8;261.8203;23;-10064
aStarNo1000SubtractBetterEstimation;lvl-527.txt;WIN;3120.0;1.0;0;2;0;51030;0;0;0;0;2;2;0;0;0;0;11;151.97311;13;-8061
aStarNo1000SubtractBetterEstimation;lvl-556.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;2;1;0;0;1;0;8;229.09021;20;-7531
aStarNo1000SubtractBetterEstimation;lvl-576.txt;WIN;3120.0;1.0;0;0;0;51030;0;0;0;0;3;2;0;0;1;0;14;180.91528;16;-3826
aStarNo1000SubtractBetterEstimation;lvl-60.txt;WIN;3120.0;1.0;0;0;0;51090;0;0;0;0;1;0;0;0;1;0;10;130.90723;11;-3241
