Agent Name;Level Name;Game Status;Final X Position;Completion Percentage;Remaining Lives;Remaining Coins;Collected Coins;Remaining Time in MS;Mario Mode;Mario Damage Taken;Mushrooms Collected;Fireflowers Collected;Total Kills;Kill by Stomp;Kills by Fire;Kills by Shell;Kills by Fall;Destroyed Bricks;Jumps;Max X Jump;Max Air Time;Overtime
aStarNoHoleDetection;lvl-101.txt;LOSE;1078.824;0.34577692;0;0;0;56220;0;0;0;0;0;0;0;0;0;0;5;149.50366;14;-158
aStarNoHoleDetection;lvl-121.txt;LOSE;2668.8289;0.8553939;0;0;0;52380;0;0;0;0;2;1;0;0;1;0;9;130.90869;11;-190
aStarNoHoleDetection;lvl-135.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;4;152.72803;13;-7867
aStarNoHoleDetection;lvl-146.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;3;118.92041;10;-10909
aStarNoHoleDetection;lvl-163.txt;LOSE;260.29892;0.08342914;0;0;0;59010;0;0;0;0;0;0;0;0;0;0;1;0.0;0;-144
aStarNoHoleDetection;lvl-20.txt;WIN;3120.0;1.0;0;0;0;50220;0;0;0;0;3;3;0;0;0;0;15;141.81519;12;-5508
aStarNoHoleDetection;lvl-232.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;1;1;0;0;0;0;10;141.77844;12;-10806
aStarNoHoleDetection;lvl-249.txt;LOSE;2275.3752;0.7292869;0;0;0;52950;0;0;0;0;1;1;0;0;0;0;10;189.02087;20;-159
aStarNoHoleDetection;lvl-252.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;2;2;0;0;0;0;6;316.2646;28;-10481
aStarNoHoleDetection;lvl-280.txt;LOSE;2445.1914;0.7837152;0;0;0;52530;0;0;0;0;0;0;0;0;0;0;8;123.9249;14;-144
aStarNoHoleDetection;lvl-286.txt;LOSE;1716.0647;0.55002075;0;1;0;54630;0;0;0;0;2;2;0;0;0;0;6;227.72595;20;-152
aStarNoHoleDetection;lvl-293.txt;LOSE;2037.7721;0.6531321;0;0;0;53040;0;0;0;0;3;1;0;0;2;0;12;174.54224;15;-152
aStarNoHoleDetection;lvl-310.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;1;1;0;0;0;0;10;185.38452;16;-9321
aStarNoHoleDetection;lvl-326.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;8;98.18262;8;-10826
aStarNoHoleDetection;lvl-327.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;2;0;0;0;2;0;3;97.69937;8;-11254
aStarNoHoleDetection;lvl-342.txt;LOSE;2428.827;0.77847016;0;0;0;53040;0;0;0;0;0;0;0;0;0;0;5;163.62817;14;-158
aStarNoHoleDetection;lvl-389.txt;LOSE;2188.825;0.70154643;0;1;0;53700;0;0;0;0;3;2;0;0;1;0;6;228.97266;20;-159
aStarNoHoleDetection;lvl-390.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;3;2;0;0;1;0;7;119.99963;10;-10299
aStarNoHoleDetection;lvl-393.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;3;135.85915;12;-11306
aStarNoHoleDetection;lvl-40.txt;WIN;3120.0;1.0;0;1;0;51150;0;0;0;0;1;1;0;0;0;0;13;163.6377;14;-3252
aStarNoHoleDetection;lvl-459.txt;WIN;3120.0;1.0;0;0;0;51090;0;0;0;0;2;1;0;0;1;0;6;98.18262;8;-11169
aStarNoHoleDetection;lvl-48.txt;LOSE;2287.0076;0.73301524;0;0;0;53430;0;0;0;0;0;0;0;0;0;0;9;141.81775;12;-155
aStarNoHoleDetection;lvl-490.txt;LOSE;2003.3707;0.642106;0;0;0;54150;0;0;0;0;2;2;0;0;0;0;5;131.14676;12;-232
aStarNoHoleDetection;lvl-497.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;3;118.637024;10;-11187
aStarNoHoleDetection;lvl-500.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;3;98.18213;8;-11065
aStarNoHoleDetection;lvl-520.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;3;3;0;0;0;0;8;261.8203;23;-10121
aStarNoHoleDetection;lvl-527.txt;LOSE;1010.64514;0.32392472;0;2;0;56940;0;0;0;0;1;1;0;0;0;0;4;151.97311;13;-145
aStarNoHoleDetection;lvl-556.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;2;1;0;0;1;0;8;229.09021;20;-7509
aStarNoHoleDetection;lvl-576.txt;LOSE;2287.0525;0.73302966;0;0;0;53310;0;0;0;0;3;2;0;0;1;0;10;180.91528;16;-191
aStarNoHoleDetection;lvl-60.txt;LOSE;1708.8248;0.5477003;0;0;0;55020;0;0;0;0;1;0;0;0;1;0;6;98.18152;8;-159
aStarNoHoleDetection;lvl-69.txt;WIN;3120.0;1.0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;3;130.90869;11;-11136
aStarNoHoleDetection;lvl-690.txt;WIN;3120.0;1.0;0;1;0;51150;0;0;0;0;1;1;0;0;0;0;8;173.75314;15;-10935
aStarNoHoleDetection;lvl-699.txt;WIN;3120.0;1.0;0;0;0;51090;0;0;0;0;2;2;0;0;0;0;12;163.63586;14;-10651
