Agent Name;Level Name;Game Status;Final X Position;Completion Percentage;Remaining Lives;Remaining Coins;Collected Coins;Remaining Time in MS;Mario Mode;Mario Damage Taken;Mushrooms Collected;Fireflowers Collected;Total Kills;Kill by Stomp;Kills by Fire;Kills by Shell;Kills by Fall;Destroyed Bricks;Jumps;Max X Jump;Max Air Time;Overtime
aStarNoHoleDetection;lvl-101,txt;LOSE;1087,0143;0,34840202;0;0;0;56250;0;0;0;0;0;0;0;0;0;0;5;149,26602;14;-157
aStarNoHoleDetection;lvl-101,txt;LOSE;1087,0143;0,34840202;0;0;0;56250;0;0;0;0;0;0;0;0;0;0;5;149,26602;14;-158
aStarNoHoleDetection;lvl-101,txt;LOSE;1084,5402;0,347609;0;0;0;56190;0;0;0;0;0;0;0;0;0;0;6;149,5008;13;-158
aStarNoHoleDetection;lvl-101,txt;LOSE;1078,824;0,34577692;0;0;0;56220;0;0;0;0;0;0;0;0;0;0;5;149,50366;14;-158
aStarNoHoleDetection;lvl-101,txt;LOSE;1087,0143;0,34840202;0;0;0;56250;0;0;0;0;0;0;0;0;0;0;5;149,26602;14;-159
aStarNoHoleDetection;lvl-121,txt;LOSE;2668,8289;0,8553939;0;0;0;52380;0;0;0;0;2;1;0;0;1;0;8;130,90869;11;-240
aStarNoHoleDetection;lvl-121,txt;LOSE;2668,8289;0,8553939;0;0;0;52380;0;0;0;0;2;1;0;0;1;0;9;130,90869;11;-194
aStarNoHoleDetection;lvl-121,txt;LOSE;2668,8289;0,8553939;0;0;0;52380;0;0;0;0;2;1;0;0;1;0;9;130,90869;11;-197
aStarNoHoleDetection;lvl-121,txt;LOSE;2668,8289;0,8553939;0;0;0;52380;0;0;0;0;2;1;0;0;1;0;8;130,90869;11;-209
aStarNoHoleDetection;lvl-121,txt;LOSE;2668,8289;0,8553939;0;0;0;52380;0;0;0;0;2;1;0;0;1;0;9;130,90869;11;-190
aStarNoHoleDetection;lvl-135,txt;WIN;3120,0;1,0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;4;152,72803;13;-7987
aStarNoHoleDetection;lvl-135,txt;WIN;3120,0;1,0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;4;152,72803;13;-7794
aStarNoHoleDetection;lvl-135,txt;WIN;3120,0;1,0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;4;152,72803;13;-7777
aStarNoHoleDetection;lvl-135,txt;WIN;3120,0;1,0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;4;152,72803;13;-8086
aStarNoHoleDetection;lvl-135,txt;WIN;3120,0;1,0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;4;152,72803;13;-7867
aStarNoHoleDetection;lvl-146,txt;WIN;3120,0;1,0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;3;118,92041;10;-11004
aStarNoHoleDetection;lvl-146,txt;WIN;3120,0;1,0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;3;118,92041;10;-10918
aStarNoHoleDetection;lvl-146,txt;WIN;3120,0;1,0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;3;118,92041;10;-10909
aStarNoHoleDetection;lvl-146,txt;WIN;3120,0;1,0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;3;118,92041;10;-11053
aStarNoHoleDetection;lvl-146,txt;WIN;3120,0;1,0;0;0;0;51150;0;0;0;0;0;0;0;0;0;0;3;118,92041;10;-11051
aStarNoHoleDetection;lvl-163,txt;LOSE;260,29892;0,08342914;0;0;0;59010;0;0;0;0;0;0;0;0;0;0;1;0,0;0;-153
aStarNoHoleDetection;lvl-163,txt;LOSE;260,29892;0,08342914;0;0;0;59010;0;0;0;0;0;0;0;0;0;0;1;0,0;0;-157
aStarNoHoleDetection;lvl-163,txt;LOSE;260,29892;0,08342914;0;0;0;59010;0;0;0;0;0;0;0;0;0;0;1;0,0;0;-154
aStarNoHoleDetection;lvl-163,txt;LOSE;260,29892;0,08342914;0;0;0;59010;0;0;0;0;0;0;0;0;0;0;1;0,0;0;-144
aStarNoHoleDetection;lvl-163,txt;LOSE;260,29892;0,08342914;0;0;0;59010;0;0;0;0;0;0;0;0;0;0;1;0,0;0;-159
aStarNoHoleDetection;lvl-20,txt;LOSE;221,94617;0,071136594;0;0;0;58650;0;0;0;0;0;0;0;0;0;0;1;25,524452;13;-159
aStarNoHoleDetection;lvl-20,txt;WIN;3120,0;1,0;0;0;0;50220;0;0;0;0;3;3;0;0;0;0;15;141,81519;12;-5508
aStarNoHoleDetection;lvl-20,txt;WIN;3120,0;1,0;0;0;0;50220;0;0;0;0;3;3;0;0;0;0;14;141,81519;14;-5578
aStarNoHoleDetection;lvl-20,txt;WIN;3120,0;1,0;0;0;0;50370;0;0;0;0;2;2;0;0;0;0;15;190,06311;19;-5622
aStarNoHoleDetection;lvl-20,txt;LOSE;221,94617;0,071136594;0;0;0;58650;0;0;0;0;0;0;0;0;0;0;1;25,524452;13;-159
aStarNoHoleDetection;lvl-232,txt;WIN;3120,0;1,0;0;0;0;51150;0;0;0;0;1;1;0;0;0;0;10;141,77844;12;-10817
aStarNoHoleDetection;lvl-232,txt;WIN;3120,0;1,0;0;0;0;51150;0;0;0;0;1;1;0;0;0;0;10;141,77844;12;-10775
aStarNoHoleDetection;lvl-232,txt;WIN;3120,0;1,0;0;0;0;51150;0;0;0;0;1;1;0;0;0;0;10;141,77844;12;-10912
aStarNoHoleDetection;lvl-232,txt;WIN;3120,0;1,0;0;0;0;51150;0;0;0;0;1;1;0;0;0;0;10;141,77844;12;-10882
aStarNoHoleDetection;lvl-232,txt;WIN;3120,0;1,0;0;0;0;51150;0;0;0;0;1;1;0;0;0;0;10;141,77844;12;-10806
aStarNoHoleDetection;lvl-249,txt;LOSE;1884,7023;0,60407126;0;0;0;54420;0;0;0;0;1;1;0;0;0;0;8;163,3294;14;-158
aStarNoHoleDetection;lvl-249,txt;LOSE;2275,3752;0,7292869;0;0;0;52950;0;0;0;0;1;1;0;0;0;0;10;189,02087;20;-159
aStarNoHoleDetection;lvl-249,txt;LOSE;2275,3752;0,7292869;0;0;0;52950;0;0;0;0;1;1;0;0;0;0;10;189,02087;20;-159
aStarNoHoleDetection;lvl-249,txt;LOSE;1884,7023;0,60407126;0;0;0;54420;0;0;0;0;1;1;0;0;0;0;8;163,3294;14;-151
aStarNoHoleDetection;lvl-249,txt;LOSE;2275,3752;0,7292869;0;0;0;52950;0;0;0;0;1;1;0;0;0;0;10;189,02087;20;-159
aStarNoHoleDetection;lvl-252,txt;WIN;3120,0;1,0;0;0;0;51150;0;0;0;0;2;2;0;0;0;0;6;316,2646;28;-10421
